med_id;pro_id;tym_id;media_libelle;media_ressource
1;1;1;robe-longue-lycra-4-pans-rouge;robe-longue-lycra-4-pans-rouge.jpg
2;2;1;robe-blanche-fines-bretelles-4-pans-1-manche;robe-blanche-fines-bretelles-4-pans-1-manche.jpg
3;3;1;robe-corsaire-cassis;robe-corsaire-cassis.jpg
4;4;1;combishort-noir-raz-de-cou;combishort-noir-raz-de-cou.jpg
5;5;1;assortiment-de-voiles-de-couleurs;assortiment-de-voiles-de-couleurs.jpg
6;6;1;tubulaire-arbre-maison;tubulaire-arbre-maison.jpg
7;7;1;mini-tente-de-cirque;mini-tente-de-cirque.jpg
8;8;1;ensemble-cote-lion;ensemble-cote-lion.jpg
9;9;1;robe-tutu-rose-fluo-et-blanche;robe-tutu-rose-fluo-et-blanche.jpg
10;10;1;justaucorps-rouge-a-manchettes;justaucorps-rouge-a-manchettes.jpg
11;11;1;tutu-mi-long-victoria;tutu-mi-long-victoria.jpg
12;12;1;jupe-de-tutu-mi-long-degas-avec-noeud;jupe-de-tutu-mi-long-degas-avec-noeud.jpg
13;13;1;pa1-academique-argent;pa1-academique-argent.jpg
14;14;1;academique-blanc;academique-blanc.jpg
15;15;1;pc8d-cote-violette;pc8d-cote-violette.jpg
16;16;1;pc8e-cote-rouge;pc8e-cote-rouge.jpg
17;17;1;pc8a-cote-jaune;pc8a-cote-jaune.jpg
18;18;1;pc8c-cote-orange;pc8c-cote-orange.jpg
19;19;1;pc16-cote-fauve-avec-cagoule;pc16-cote-fauve-avec-cagoule.jpg
20;20;1;pc1-combinaison-multicouleurs;pc1-combinaison-multicouleurs.jpg
21;21;1;pc3-cote-de-souris;pc3-cote-de-souris.jpg
22;22;1;pc8b-cote-verte;pc8b-cote-verte.jpg
23;23;1;pc4-combinaison-argent;pc4-combinaison-argent.jpg
24;24;1;pc4bis-combinaison-argent;pc4bis-combinaison-argent.jpg
25;25;1;pc20bis-combinaison-imprimee;pc20bis-combinaison-imprimee.jpg
26;26;1;pc21-combinaison-hieroglyphique;pc21-combinaison-hieroglyphique.jpg
27;27;1;pc22-combinaison-hawai;pc22-combinaison-hawai.jpg
28;28;1;pc14-cote-argentblanc-avec-cagoule;pc14-cote-argentblanc-avec-cagoule.jpg
29;29;1;mc5a-cote-a-volants-rouge;mc5a-cote-a-volants-rouge.jpg
30;30;1;mc1a-arlequin-noir-et-blanc;mc1a-arlequin-noir-et-blanc.jpg
31;31;1;mc4g-cote-combinaison-grise;mc4g-cote-combinaison-grise.jpg
32;32;1;mc4c-cote-combinaison-fuschia;mc4c-cote-combinaison-fuschia.jpg
33;33;1;mc4b-cote-combinaison-verte;mc4b-cote-combinaison-verte.jpg
34;34;1;mc4a-cote-combinaison-turquoise;mc4a-cote-combinaison-turquoise.jpg
35;35;1;mc5d-cote-a-volants-grise;mc5d-cote-a-volants-grise.jpg
36;36;1;mc4d-cote-combinaison-parme;mc4d-cote-combinaison-parme.jpg
37;37;1;mc5b-cote-a-volants-bleue;mc5b-cote-a-volants-bleue.jpg
38;38;1;ma7a-academique-a-manche-bleu-turquoise;ma7a-academique-a-manche-bleu-turquoise.jpg
39;39;1;mc4e-cote-combinaison-orange;mc4e-cote-combinaison-orange.jpg
40;40;1;mc1c-arlequin-jeux-de-cartes;mc1c-arlequin-jeux-de-cartes.jpg
41;41;1;mc2-cote-noire-et-blanche;mc2-cote-noire-et-blanche.jpg
42;42;1;mc6-cote-combinaison-leopard;mc6-cote-combinaison-leopard.jpg
43;43;1;mc8-cote-bouffante-assortiment-de-bleu-et-vert;mc8-cote-bouffante-assortiment-de-bleu-et-vert.jpg
